email,name,customer_code
user0@mail.com,First0 Last0,CUST-001
user1@mail.com,First1 Last1,CUST-002
user2@mail.com,First2 Last2,CUST-003
user3@mail.com,First3 Last3,CUST-004
user4@mail.com,First4 Last4,CUST-005
user5@mail.com,First5 Last5,CUST-006
user6@mail.com,First6 Last6,CUST-007
user7@mail.com,First7 Last7,CUST-008
user8@mail.com,First8 Last8,CUST-009
user9@mail.com,First9 Last9,CUST-010
user10@mail.com,First10 Last10,CUST-011
user11@mail.com,First11 Last11,CUST-012
user12@mail.com,First12 Last12,CUST-013
user13@mail.com,First13 Last13,CUST-014
user14@mail.com,First14 Last14,CUST-015
user15@mail.com,First15 Last15,CUST-016
user16@mail.com,First16 Last16,CUST-017
user17@mail.com,First17 Last17,CUST-018
user18@mail.com,First18 Last18,CUST-019
user19@mail.com,First19 Last19,CUST-020
user20@mail.com,First20 Last20,CUST-021
user21@mail.com,First21 Last21,CUST-022
user22@mail.com,First22 Last22,CUST-023
user23@mail.com,First23 Last23,CUST-024
user24@mail.com,First24 Last24,CUST-025
user25@mail.com,First25 Last25,CUST-026
user26@mail.com,First26 Last26,CUST-027
user27@mail.com,First27 Last27,CUST-028
user28@mail.com,First28 Last28,CUST-029
user29@mail.com,First29 Last29,CUST-030
user30@mail.com,First30 Last30,CUST-031
user31@mail.com,First31 Last31,CUST-032
user32@mail.com,First32 Last32,CUST-033
user33@mail.com,First33 Last33,CUST-034
user34@mail.com,First34 Last34,CUST-035
user35@mail.com,First35 Last35,CUST-036
user36@mail.com,First36 Last36,CUST-037
user37@mail.com,First37 Last37,CUST-038
user38@mail.com,First38 Last38,CUST-039
user39@mail.com,First39 Last39,CUST-040
user40@mail.com,First40 Last40,CUST-041
user41@mail.com,First41 Last41,CUST-042
user42@mail.com,First42 Last42,CUST-043
user43@mail.com,First43 Last43,CUST-044
user44@mail.com,First44 Last44,CUST-045
user45@mail.com,First45 Last45,CUST-046
user46@mail.com,First46 Last46,CUST-047
user47@mail.com,First47 Last47,CUST-048
user48@mail.com,First48 Last48,CUST-049
user49@mail.com,First49 Last49,CUST-050
user50@mail.com,First50 Last50,CUST-051
user51@mail.com,First51 Last51,CUST-052
user52@mail.com,First52 Last52,CUST-053
user53@mail.com,First53 Last53,CUST-054
user54@mail.com,First54 Last54,CUST-055
user55@mail.com,First55 Last55,CUST-056
user56@mail.com,First56 Last56,CUST-057
user57@mail.com,First57 Last57,CUST-058
user58@mail.com,First58 Last58,CUST-059
user59@mail.com,First59 Last59,CUST-060
user60@mail.com,First60 Last60,CUST-061
user61@mail.com,First61 Last61,CUST-062
user62@mail.com,First62 Last62,CUST-063
user63@mail.com,First63 Last63,CUST-064
user64@mail.com,First64 Last64,CUST-065
user65@mail.com,First65 Last65,CUST-066
user66@mail.com,First66 Last66,CUST-067
user67@mail.com,First67 Last67,CUST-068
user68@mail.com,First68 Last68,CUST-069
user69@mail.com,First69 Last69,CUST-070
user70@mail.com,First70 Last70,CUST-071
user71@mail.com,First71 Last71,CUST-072
user72@mail.com,First72 Last72,CUST-073
user73@mail.com,First73 Last73,CUST-074
user74@mail.com,First74 Last74,CUST-075
user75@mail.com,First75 Last75,CUST-076
user76@mail.com,First76 Last76,CUST-077
user77@mail.com,First77 Last77,CUST-078
user78@mail.com,First78 Last78,CUST-079
user79@mail.com,First79 Last79,CUST-080
user80@mail.com,First80 Last80,CUST-081
user81@mail.com,First81 Last81,CUST-082
user82@mail.com,First82 Last82,CUST-083
user83@mail.com,First83 Last83,CUST-084
user84@mail.com,First84 Last84,CUST-085
user85@mail.com,First85 Last85,CUST-086
user86@mail.com,First86 Last86,CUST-087
user87@mail.com,First87 Last87,CUST-088
user88@mail.com,First88 Last88,CUST-089
user89@mail.com,First89 Last89,CUST-090
user90@mail.com,First90 Last90,CUST-091
user91@mail.com,First91 Last91,CUST-092
user92@mail.com,First92 Last92,CUST-093
user93@mail.com,First93 Last93,CUST-094
user94@mail.com,First94 Last94,CUST-095
user95@mail.com,First95 Last95,CUST-096
user96@mail.com,First96 Last96,CUST-097
user97@mail.com,First97 Last97,CUST-098
user98@mail.com,First98 Last98,CUST-099
user99@mail.com,First99 Last99,CUST-100
